,Pickup_longitude,Pickup_latitude,size,label
247,-73.953024842,40.6972523179,258.0,20.0
248,-73.9629205646,40.6900936474,396.0,21.0
249,-73.9607887837,40.6971557389,201.0,22.0
250,-73.9722184546,40.6949281104,243.0,23.0
251,-73.9979269463,40.6935674433,171.0,24.0
252,-73.9784146309,40.6902622223,480.0,25.0
253,-73.9734777137,40.6913117517,237.0,26.0
254,-73.9745848871,40.6968720344,186.0,27.0
255,-73.9697210924,40.6977967316,159.0,28.0
256,-73.9502169291,40.6997530032,234.0,29.0
257,-73.9725332549,40.6964368531,198.0,30.0
258,-73.9714143372,40.6959164429,150.0,31.0
259,-73.9712366956,40.6950306182,141.0,32.0
260,-73.9699824407,40.6961632753,117.0,33.0
261,-73.9607414477,40.6924406109,99.0,34.0
262,-73.9713574219,40.6906762695,150.0,35.0
263,-73.9483360412,40.6917892133,567.0,0.0
264,-73.9278678037,40.6927674647,1068.0,1.0
265,-73.9350917876,40.696828273,9681.0,2.0
266,-73.9269883787,40.6979255731,2079.0,3.0
267,-73.9181886254,40.6988587356,615.0,4.0
268,-73.9323980251,40.6976183571,2694.0,5.0
269,-73.9373495531,40.6934456177,1347.0,6.0
270,-73.9492344737,40.6953815133,2166.0,7.0
271,-73.9465224976,40.6956676579,1317.0,8.0
272,-73.9113534314,40.6996195628,1698.0,9.0
273,-73.9245768,40.6909064523,1266.0,10.0
274,-73.9429063476,40.692351525,981.0,11.0
275,-73.9378923913,40.6966739289,438.0,12.0
276,-73.9422079426,40.6961058714,1737.0,13.0
277,-73.9399514131,40.6929099431,1059.0,14.0
278,-73.9396537114,40.6909892258,309.0,15.0
279,-73.9453581746,40.690563151,225.0,16.0
280,-73.9210263153,40.6911200908,201.0,17.0
281,-73.9458282626,40.6920067923,588.0,18.0
282,-73.9223749565,40.6919581095,198.0,19.0
283,-73.9403111528,40.6949063743,246.0,20.0
284,-73.9293432871,40.6976664225,180.0,21.0
285,-73.9451203918,40.6958768463,150.0,22.0
286,-73.8521590694,40.6936913767,465.0,0.0
287,-73.8072240889,40.6993266016,16350.0,0.0
288,-73.8279074127,40.6940012913,306.0,1.0
289,-73.8308091971,40.699796882,390.0,2.0
